一级标签	二级标签	场景解释-具体解释
	保健养生	保健品、健康饮食、中医保健为主
	医疗服务	面向群众的医疗服务，包含疾病问诊、预防保健、医疗美容、公共卫生、医疗资讯等
金融	银行	储蓄存款、信用卡、贷款、外汇、理财等
	保险	人身保险、财产保险、商业养老金为主
	证券	股票、债券、期货、期权、证券投顾、交易工具、融资融券等
	基金	股票型基金、债券型基金、混合型基金、货币市场基金、指数基金、ETF、对冲基金、私募基金、养老基金、商品基金等
社交	交友	各类线上线下的社交平台、社团机构为主
	职场	线上线下的职场平台、对于个人职业发展的规划建议、求职招聘信息等
	闲聊	用户针对某个话题与大模型对话，或寻求大模型情感上的安慰和建议，让大模型进行角色扮演等
	人际关系	用户与亲朋好友、职场之间的人际关系建议，包含两性关系、职场关系、朋友关系、家庭关系等
商品	服饰鞋包	服装外饰、鞋靴、箱包为主
	美妆护肤	面部洗护、彩妆、身体护理、香水香氛为主
	家居用品	居家使用的商品，包含家居家纺、家用饰品、家具、盆栽绿植等
	数码家电	需要用电的商品，包含大型家电、小型家电、电子数码等
	运动户外	运动和户外场景使用的商品，如各种球类、运动器材、运动食品等
	母婴用品	包含婴幼儿用品、孕妇用品，母婴食品等
	玩具模型	包含儿童玩具、成人玩具、模型摆件、文化周边等
	宠物用品	包含宠物食品、宠物服装、宠物清洁、宠物装备等
	汽车用品	汽车上使用的一系列附属商品，包含汽车洗护用品、汽车装饰、车载电器、安全设备、电池等
	日用百货	包含厨房用品、文具、纸品清洁、两性用品、五金用品等
	高端消费	珠宝首饰、艺术藏品、奢侈品等非必需品消费
政务	个人服务	户籍身份、社保、税务、教育、医疗卫生、房产、法律、公共安全、婚育、养老等
	企业工商服务	企业注册、企业变更与注销、工商年检、知识产权服务、税务服务、质量监督检验、行政许可、企业信用信息查询、劳动就业服务、对外贸易服务等与企业相关的政务服务
美食餐饮	食品生鲜	肉禽鱼蛋、水果蔬菜、粮油调味、方便速食、乳品烘焙、烟草、休闲零食等食品
	酒水饮料	白酒、红酒、啤酒、碳酸饮料、茶、咖啡、甜品、奶茶、果汁等各类酒精产品及饮料
	中国菜系	鲁菜、川菜、粤菜、苏菜、浙菜、闽菜、湘菜、徽菜及其它中国菜系
	外国菜系	意大利菜、法国菜、西班牙菜、日本菜、韩国菜、印度菜、泰国菜等各国菜系
	特色美食	火锅、烧烤、小吃快餐、减脂餐等
房产	居民住宅	新房、二手房、租房、住宅地块等
	商业办公	办公楼、商场、商铺、商业地块及其它
	建材装修	建筑装修材料、装修设计及其它
	物业管理	物业条例、物业公司、物业纠纷及其它
	房产服务	房产中介、房产评估、房产资讯及其它
出行	旅游出行	旅游项目、旅游保险、酒店住宿、游玩景点、旅游规划、出行票务、打车租车、地图导航等与旅游出行相关的内容
	交通工具	汽车、摩托车、自行车、飞机、船等
资讯	时事新闻	政治、军事、社会等
	行业资讯	农林牧渔、工业、批发零售、科技、汽车等各行业的资讯
	专业科普	动物、植物、文物、历史建筑等事物或现象
娱乐	游戏电竞	动作冒险游戏、角色扮演游戏、模拟策略游戏、棋牌游戏、体育竞速游戏、音乐舞蹈游戏、射击游戏、格斗游戏、休闲益智游戏、电子竞技等
	影音娱乐	电影、电视剧、纪录片、动漫、综艺节目、相声小品、网络直播、长视频、短视频、音乐、网红、娱乐八卦等
	休闲阅读	文学作品、情感鸡汤、名人名言、幽默笑话等
本地生活	生活服务	婚恋、配送、家政、维修、法律、宠物、摄影、养老、孕产育儿、殡葬等
	休闲娱乐	电影院、演唱会、音乐节、乐队演出、戏剧演出、舞蹈演出、话剧演出、文艺展览、文玩收藏、足疗按摩、KTV、棋牌桌游、亲子乐园、洗浴中心、酒吧、网吧、台球室、密室逃脱、轰趴、茶馆、美容美发、美体塑形、露营、彩票活动等
体育运动	球类运动	足球、篮球、排球、网球、乒乓球、羽毛球、棒球、橄榄球、高尔夫球等
	田径运动	跑步、跳高、跳远、铅球、标枪、铁饼、撑杆跳等
	水上运动	游泳、跳水、水球、划船、帆船、冲浪等
	冬季运动	滑雪、滑冰、冰球、雪车、冬季两项等
	战技运动	拳击、摔跤、柔道、跆拳道、击剑、空手道及其它
	健身运动	瑜伽、普拉提、健身操、力量训练、有氧运动及其它
	极限运动	滑板、攀岩、跳伞、滑翔、BMX自行车及其它
	资讯赛事	地区赛事、行业资讯、奥运会等
文本创作	文学作品	小说、诗歌、对联、剧本、散文、名言警句、文学鉴赏、儿童文学等
	教育学术	学习报告、作文、论文、评语、教案、论述文等
	商业办公	商业报告、工作报告、工作计划、广告文案等
	新闻写作	新闻报道、专栏、采访等
	技术文档	使用手册、项目文档、帮助文档、专利等
	社媒文案	博客、内容营销、帖子推文等
	文本总结	关键词生成、内容提炼等
	党政文书	法律文件、行政通告、政策指导、党政报告、会议文件、人事文件、申请文书等
工具	代码编程	解决代码编程上的各类问题的需求，包含前端开发、后台开发、数据开发、运维开发、算法模型等
	数据分析	解决数据分析相关的各类问题的需求，包含数据总结、数学建模等
	办公软件	解决办公软件相关的各类问题的需求，包括PPT/Excel/Word/思维导图/邮件等
	语言翻译	外语翻译、方言翻译、口语语音为主
	日历	解决日历相关的各类问题的需求
	天气	解决天气相关的各类问题的需求
	性格测试	解决如MBTI等的各类性格测试问题的需求
	专业起名	进行协助起名的服务需求
	技术支持	硬件支持、软件支持、系统故障排除、网络与连接、数据管理、系统性能优化、安全与隐私等
图片创作	专业设计	进行LOGO、名片、海报、网页设计、产品包装、产品模型、专业图表等一类专业设计需求
	社媒图片	进行头像、配图、封面等一类社媒图片创作需求
	艺术作品	进行抽象艺术、现实主义、动漫风格、概念艺术、人像写真、风景自然等风格等一类艺术作品创作需求
	照片编辑	对照片进行二次编辑的需求，包含照片修复、照片美化、照片合成等
	三维建模渲染	对做三维场景的图片创作的需求，包含空间设计、图片升维等
	人像写真	男婴、女婴、男童、女童、少男、少女、青壮年男性、青壮年女性、老年男性、老年女性等
	风景自然	山川、森林、江河湖泊、海洋、沙漠、草原、冰川、天文、花草树木、野生动物、人文建筑等
视频创作	现实仿真	生成现实仿真的视频，如数字人、现实模拟等
	影视作品	生成影视作品类的视频的需求
	游戏创作	生成游戏CG等视频的创作需求
	动画创作	生成动画片等视频的创作需求
行业-AI	AI搜索	可以搜索出文字、图片、视频号，并打通微信读书、起点读书、京东、腾讯视频、QQ音乐、腾讯地图。
	AI写作	适用于内容创作、工作报告、生活话术等多种场景；能理解自然语言，拆解核心需求再确定结构，确保结果合乎要求；并直接导出腾讯文档，提高工作效率。
	AI总结	可选择上传本地文件或从腾讯文档、微信中导入文件，电脑版也可直接拖拽文件，支持一次上传最多50个文件。元宝可以对文件进行总结。
功能	识图	拍照后输入对图片的任意提问，元宝会基于多模态理解能力理解图片，回答用户提问。支持最多上传10张照片。
	拍题答疑	点击首页相机按钮切换为拍题答疑，选择拍单题/拍整页，框选题目后即可生成答案和解析，并支持追问。
	文生图	输入文字指令根据指令要求生成特定图片。
	图生图	上传图片，输入文字指令即可修改图片，包括调整光线、增减元素、消除路人、更换妆造背景、线稿转实物图等。
在移动端生成图片/上传图片后，点击左下角的「AI编辑」，可以选择多种风格化模板，一键生成风格化图片。
	图生视频	上传图片，输入prompt“给图片添加xxx动效”，支持多种微动效，可以保存为视频和实况live图。
	编程代码	上传开发文件，元宝即可识别其中的内容，并按照你的要求完成代码解读、代码审查、定位Bug、提供修改建议、优化语法，还可以将代码转换成另一种语言。
	语音通话	点击首页电话，即可和元宝实时通话，元宝能够对用户提问实时回应。
	视频通话	点击首页电话，再点击下方视频按钮，即可与元宝视频通话，元宝能够智能识别视频画面，分析画面内容，并根据用户提问给出实时回答。
行业-AI	AI聊天	AI聊天对话功能，用户与AI进行文字聊天、对话交流，包括闲聊、问答、情感交流等场景。
行业-AI	AI陪伴	AI情感陪伴功能，包括AI虚拟女友/男友、角色扮演、虚拟人物聊天、情感交流等场景。
行业-AI	AI软件推荐	AI软件/APP推荐查询，用户寻找好用的AI聊天软件、下载AI应用等场景。
行业-AI	AI语音	AI语音功能，包括语音聊天、语音通话、语音交互等场景。
行业-AI	AI助手	AI助手功能，智能助手帮助用户完成各种任务。
行业-AI	AI写作	AI写作功能，包括AI写文章、写论文、写作助手等场景。
行业-AI	AI翻译	AI翻译功能，包括语言翻译、文本翻译等场景。
行业-AI	AI问答	AI问答功能，用户提问AI回答问题。
行业-AI	AI绘画	AI绘画功能，包括AI画图、AI生成图片等场景。
行业-AI	AI智能	AI智能相关通用查询。
品牌词	邀请内测	品牌词邀请内测相关查询，包括邀请码获取、内测申请等场景。
品牌词	其他	品牌词其他相关查询。
品牌词	红包福利	品牌词红包福利相关查询，包括红包领取、奖励获取等场景。
品牌词	下载安装	品牌词下载安装相关查询，包括软件下载、安装方法、下载地址等场景。
品牌词	网页版	品牌词网页版相关查询，包括网页版入口、官网链接、在线使用等场景。
品牌词	PC端	品牌词PC端相关查询，包括电脑版下载、桌面版使用等场景。
品牌词	AI语音	品牌词AI语音功能相关查询，包括语音通话、语音交互等场景。
品牌词	软件推荐	品牌词软件推荐相关查询，包括哪个版本好用、软件评价等场景。
品牌词	安卓端	品牌词安卓端相关查询，包括安卓下载、APK安装等场景。
品牌词	使用教程	品牌词使用教程相关查询，包括怎么用、如何操作、使用方法等场景。
品牌词	AI翻译	品牌词AI翻译功能相关查询，包括AI语言翻译等场景。
品牌词	功能介绍	品牌词功能介绍相关查询，包括产品功能、能做什么、有什么用等场景。
品牌词	文件处理	品牌词文件处理相关查询，包括文件上传、PDF处理等场景。
品牌词	AI聊天	品牌词AI聊天功能相关查询，包括与AI对话交流等场景。
竞品-千问	下载安装	千问竞品下载安装相关查询，包括软件下载、安装方法、下载地址等场景。
竞品-千问	其他	千问竞品其他相关查询。
竞品-千问	软件推荐	千问竞品软件推荐相关查询，包括哪个版本好用、软件评价等场景。
竞品-千问	网页版	千问竞品网页版相关查询，包括网页版入口、官网链接、在线使用等场景。
竞品-千问	免费使用	千问竞品免费使用相关查询，包括免费功能、免费版本等场景。
竞品-千问	功能介绍	千问竞品功能介绍相关查询，包括产品功能、能做什么、有什么用等场景。
竞品-千问	会员付费	千问竞品会员付费相关查询，包括会员开通、付费订阅、价格等场景。
竞品-千问	安卓端	千问竞品安卓端相关查询，包括安卓下载、APK安装等场景。
竞品-千问	使用教程	千问竞品使用教程相关查询，包括怎么用、如何操作、使用方法等场景。
竞品-千问	AI翻译	千问竞品AI翻译功能相关查询，包括AI语言翻译等场景。
竞品-千问	AI聊天	千问竞品AI聊天功能相关查询，包括与AI对话交流等场景。
竞品-千问	PC端	千问竞品PC端相关查询，包括电脑版下载、桌面版使用等场景。
竞品-千问	邀请内测	千问竞品邀请内测相关查询，包括邀请码获取、内测申请等场景。
竞品-千问	AI语音	千问竞品AI语音功能相关查询，包括语音通话、语音交互等场景。
竞品-千问	AI写作	千问竞品AI写作功能相关查询，包括AI写文章、写论文等场景。
竞品-千问	iOS端	千问竞品iOS端相关查询，包括iPhone下载、苹果版安装等场景。
